customer_id,age,income,education,employment_years,credit_score,debt_to_income_ratio,existing_loans,savings_balance,mortgage_balance,loan_amount_requested,years_at_current_address,number_of_credit_cards,late_payments_6m,bankruptcies,marital_status,dependents,home_ownership,loan_approved,approval_probability
CUST_018461,32,72408.14,Bachelor,10.0,440,0.155,4,75495.8,75558.08,14061.82,1.8,5,1,0,Single,0,Rent,1,0.357
CUST_028759,67,59912.41,Some College,2.0,568,0.299,2,35224.01,0.0,13155.54,11.3,1,0,0,Married,0,Mortgage,0,0.414
CUST_016145,50,44017.26,Bachelor,18.5,670,0.375,1,26466.18,151636.23,2593.61,0.5,0,0,0,Married,0,With Parents,1,0.442
CUST_042678,69,28219.82,Bachelor,21.0,601,0.464,2,332.25,0.0,1000.0,2.1,0,0,0,Married,0,Own,0,0.387
CUST_000796,68,64895.21,Some College,0.8,850,0.394,3,9438.26,193756.97,19642.87,6.3,2,0,0,Divorced,0,Mortgage,1,0.504
CUST_045192,62,93214.26,Bachelor,14.0,679,0.291,1,11863.19,273694.86,3779.17,1.9,3,0,0,Married,2,Mortgage,0,0.505
CUST_000115,46,81799.95,Master,15.7,611,0.454,2,37605.52,103996.11,37731.99,4.6,2,0,1,Single,0,Mortgage,1,0.234
CUST_035142,60,41799.29,High School,2.7,547,0.4,2,7816.61,240264.54,4646.12,7.6,6,0,0,Single,3,Mortgage,0,0.373
CUST_042558,35,185847.63,High School,7.4,490,0.17,0,12150.03,49297.39,18530.45,8.2,3,1,0,Married,0,Rent,0,0.448
CUST_038312,55,35887.24,Master,4.6,653,0.241,1,3685.08,190580.51,27331.66,3.1,3,0,0,Single,4,Rent,0,0.4
CUST_023778,45,66945.2,Bachelor,3.9,676,0.442,2,1535.31,97373.52,10738.69,7.6,2,0,0,Single,1,With Parents,0,0.453
CUST_039993,41,48080.89,Some College,8.7,548,0.305,1,5363.14,25440.17,1000.0,2.0,1,2,0,Married,0,Rent,0,0.409
CUST_002866,59,74656.33,Some College,29.7,664,0.23,0,14361.64,26021.51,27976.45,11.4,2,0,0,Married,1,Rent,0,0.498
